,CarData Element,Description,Category,Name,,,Technical descriptor,Data type,Typical value range,Unit,Streamable,,,,,
254,Location-based charging settings,"The value shows a list of the vehicle's currently stored location-based charging settings, which were recorded as part of the “Location-based charging settings” service.",Battery EV,Location-based charging settings,,,vehicle.​powertrain.​electric.​battery.​charging.​settingsList,-,Details can be found in the corresponding Swagger documentation: ../locationBasedChargingSettings,-,,,,"""vehicle.​powertrain.​electric.​battery.​charging.​settingsList"": ""Battery EV Location-based charging settings"",",,"""vehicle.​powertrain.​electric.​battery.​charging.​settingsList"": ""Battery EV Location-based charging settings"","
255,Automatic preconditioning status feedback,Current state of toggle switch for automatic battery preconditioning. ON means automatic mode (navigation based) of the predictive thermal management (vWM) is activated. OFF means automatic mode (navigation based) of the predictive thermal management (vWM) is deactivated. TEMP_OFF stands for temporary deactivation for current trip of the automatic predictive thermal management.,Battery EV,Automatic preconditioning state,,,vehicle.​powertrain.​electric.​battery.​preconditioning.​automaticMode.​statusFeedback,string,"OFF, ON, TEMP_OFF, UNKNOWN",-,,,,"""vehicle.​powertrain.​electric.​battery.​preconditioning.​automaticMode.​statusFeedback"": ""Battery EV Automatic preconditioning state"",",,"""vehicle.​powertrain.​electric.​battery.​preconditioning.​automaticMode.​statusFeedback"": ""Battery EV Automatic preconditioning state"","
256,Manual preconditioning status feedback,Current state of button for manual battery preconditioning. Either for charging or driving.,Battery EV,Manual preconditioning state,,,vehicle.​powertrain.​electric.​battery.​preconditioning.​manualMode.​statusFeedback,string,"OFF, ON_CHARGE, ON_DRIVE, UNKNOWN",-,,,,"""vehicle.​powertrain.​electric.​battery.​preconditioning.​manualMode.​statusFeedback"": ""Battery EV Manual preconditioning state"",",,"""vehicle.​powertrain.​electric.​battery.​preconditioning.​manualMode.​statusFeedback"": ""Battery EV Manual preconditioning state"","
257,Preconditioning state,Status of battery preconditioning activity. On legacy value only valid for legacy-project SP2021plus.,Battery EV,Preconditioning state,,,vehicle.​powertrain.​electric.​battery.​preconditioning.​state,string,"OFF, ON_LEGACY, MANUAL_ON_CHARGE, AUTOMATIC_ON, REMOTE_ON_CHARGE, REMOTE_ON_DRIVE, REMOTE_OFF, UNKNOWN",-,,,,"""vehicle.​powertrain.​electric.​battery.​preconditioning.​state"": ""Battery EV Preconditioning state"",",,"""vehicle.​powertrain.​electric.​battery.​preconditioning.​state"": ""Battery EV Preconditioning state"","
258,Target charging status of the high-voltage battery,This value indicates the target charging status of the high-voltage battery in percent. This is displayed in 10% increments.,Battery EV,Target state of charge,,,vehicle.​powertrain.​electric.​battery.​stateOfCharge.​target,uint8,"0-100 [10% Schritte], INVALID",%,,,,"""vehicle.​powertrain.​electric.​battery.​stateOfCharge.​target"": ""Battery EV Target state of charge"",",,"""vehicle.​powertrain.​electric.​battery.​stateOfCharge.​target"": ""Battery EV Target state of charge"","
259,Target min state of charge,Min target state of charge requested by customer for smart charging and V2X.,Battery EV,Target state of charge (min),,,vehicle.​powertrain.​electric.​battery.​stateOfCharge.​targetMin,uint8,0% to 100%,percent,,,,"""vehicle.​powertrain.​electric.​battery.​stateOfCharge.​targetMin"": ""Battery EV Target state of charge (min)"",",,"""vehicle.​powertrain.​electric.​battery.​stateOfCharge.​targetMin"": ""Battery EV Target state of charge (min)"","
260,Target SOC for professional mode,Contains the target state of charge that shall be used as target in professional mode. At least this target state of charge will be reached by departure time.,Battery EV,Target state of charge (professional mode),,,vehicle.​powertrain.​electric.​battery.​stateOfCharge.​targetSoCForProfessionalMode,uint8,0% to 100%,percent,,,,"""vehicle.​powertrain.​electric.​battery.​stateOfCharge.​targetSoCForProfessionalMode"": ""Battery EV Target state of charge (professional mode)"",",,"""vehicle.​powertrain.​electric.​battery.​stateOfCharge.​targetSoCForProfessionalMode"": ""Battery EV Target state of charge (professional mode)"","
261,Health status of the high-voltage battery (SOCE),"This value indicates the health status of the high-voltage battery (SOCE, State of Certified Energy).",Battery EV,Battery health state (SOCE),,,vehicle.​powertrain.​electric.​battery.​stateOfHealth.​displayed,-,-,-,,,,"""vehicle.​powertrain.​electric.​battery.​stateOfHealth.​displayed"": ""Battery EV Battery health state (SOCE)"",",,"""vehicle.​powertrain.​electric.​battery.​stateOfHealth.​displayed"": ""Battery EV Battery health state (SOCE)"","
263,Charging time display,This value indicates whether the charging time is displayed in the vehicle.,Charging EV,Charging time display,,,vehicle.​powertrain.​electric.​chargingDuration.​displayControl,string,"NO_DISPLAY_TIME_FOR_CHARGING, DISPLAY_CHARGING_DURATION, NO_DISPLAY_CHARGING_DURATION, INVALID",-,,,,"""vehicle.​powertrain.​electric.​chargingDuration.​displayControl"": ""Charging EV Charging time display"",",,"""vehicle.​powertrain.​electric.​chargingDuration.​displayControl"": ""Charging EV Charging time display"","
264,Departure time display,This value indicates whether the departure time is displayed in the vehicle.,Charging EV,Departure time display,,,vehicle.​powertrain.​electric.​departureTime.​displayControl,string,"DONT_DISPLAY, DISPLAY_DEPARTURE_TIME, DISPLAY_DEPARTURE_TIME_WITH_V2XSOE, UNKNOWN",-,,,,"""vehicle.​powertrain.​electric.​departureTime.​displayControl"": ""Charging EV Departure time display"",",,"""vehicle.​powertrain.​electric.​departureTime.​displayControl"": ""Charging EV Departure time display"","
265,Electric range display control,Indicates if and how the electric range shall be displayed in the vehicle.,Range EV,Display control,,,vehicle.​powertrain.​electric.​range.​displayControl,string,-,-,,,,"""vehicle.​powertrain.​electric.​range.​displayControl"": ""Range EV Display control"",",,"""vehicle.​powertrain.​electric.​range.​displayControl"": ""Range EV Display control"","
266,"Remaining electric range, depending on target charging status",This value indicates the remaining electric range at the time of data collection. This depends on the set target value of the charging status.,Range EV,Remaining (set target based),,,vehicle.​powertrain.​electric.​range.​target,float,"0-4000 KM oder MI, INVALID",km,,,,"""vehicle.​powertrain.​electric.​range.​target"": ""Range EV Remaining (set target based)"",",,"""vehicle.​powertrain.​electric.​range.​target"": ""Range EV Remaining (set target based)"","
268,Battery charging port any position flap automatic open/close,"This field indicates if customer setting for opening the flap by myWay function (slider in the mobile app) is active. If true, flap opens automatically when the vehicle is close to a charging station with the digital key in the pocket and closes automatically after unplugging the cable.",Charging Port,flap automatic open/close (any position),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​anyPosition.​flap.​isAutomaticOpenAndCloseActive,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​anyPosition.​flap.​isAutomaticOpenAndCloseActive"": ""Charging Port flap automatic open/close (any position)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​anyPosition.​flap.​isAutomaticOpenAndCloseActive"": ""Charging Port flap automatic open/close (any position)"","
269,Battery charging port any position flap open,"This signal indicates, if charging port is open in the vehicle.",Charging Port,flap state (any position),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​anyPosition.​flap.​isOpen,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​anyPosition.​flap.​isOpen"": ""Charging Port flap state (any position)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​anyPosition.​flap.​isOpen"": ""Charging Port flap state (any position)"","
270,Battery charging port any position plugged,"This signal indicates, if a charging cable is plugged in the charging port.",Charging Port,plugged (any position),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​anyPosition.​isPlugged,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​anyPosition.​isPlugged"": ""Charging Port plugged (any position)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​anyPosition.​isPlugged"": ""Charging Port plugged (any position)"","
271,Battery charging port front left flap automatic open/close,"This field indicates if customer setting for opening the front left flap by myWay function (slider in the mobile app) is active. If true, flap opens automatically when the vehicle is close to a charging station with the digital key in the pocket and closes automatically after unplugging the cable.",Charging Port,flap automatic open/close (front left),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​frontLeft.​flap.​isAutomaticOpenAndCloseActive,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontLeft.​flap.​isAutomaticOpenAndCloseActive"": ""Charging Port flap automatic open/close (front left)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontLeft.​flap.​isAutomaticOpenAndCloseActive"": ""Charging Port flap automatic open/close (front left)"","
272,Battery charging port front left flap open,"This signal indicates, if front left charging port is open in the vehicle.",Charging Port,flap state (front left),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​frontLeft.​flap.​isOpen,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontLeft.​flap.​isOpen"": ""Charging Port flap state (front left)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontLeft.​flap.​isOpen"": ""Charging Port flap state (front left)"","
273,Battery charging port front left plugged,"This signal indicates, if a charging cable is plugged in the front left charging port.",Charging Port,plugged (front left),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​frontLeft.​isPlugged,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontLeft.​isPlugged"": ""Charging Port plugged (front left)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontLeft.​isPlugged"": ""Charging Port plugged (front left)"","
274,Battery charging port front middle flap automatic open/close,"This field indicates if customer setting for opening the front middle flap by myWay function (slider in the mobile app) is active. If true, flap opens automatically when the vehicle is close to a charging station with the digital key in the pocket and closes automatically after unplugging the cable.",Charging Port,flap automatic open/close (front middle),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​frontMiddle.​flap.​isAutomaticOpenAndCloseActive,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontMiddle.​flap.​isAutomaticOpenAndCloseActive"": ""Charging Port flap automatic open/close (front middle)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontMiddle.​flap.​isAutomaticOpenAndCloseActive"": ""Charging Port flap automatic open/close (front middle)"","
275,Battery charging port front middle flap open,"This signal indicates, if front middle charging port is open in the vehicle.",Charging Port,flap state (front middle),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​frontMiddle.​flap.​isOpen,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontMiddle.​flap.​isOpen"": ""Charging Port flap state (front middle)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontMiddle.​flap.​isOpen"": ""Charging Port flap state (front middle)"","
276,Battery charging port front middle plugged,"This signal indicates, if a charging cable is plugged in the front middle charging port.",Charging Port,plugged (front middle),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​frontMiddle.​isPlugged,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontMiddle.​isPlugged"": ""Charging Port plugged (front middle)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontMiddle.​isPlugged"": ""Charging Port plugged (front middle)"","
277,Battery charging port front right flap automatic open/close,"This field indicates if customer setting for opening the front right flap by myWay function (slider in the mobile app) is active. If true, flap opens automatically when the vehicle is close to a charging station with the digital key in the pocket and closes automatically after unplugging the cable.",Charging Port,flap automatic open/close (front right),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​frontRight.​flap.​isAutomaticOpenAndCloseActive,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontRight.​flap.​isAutomaticOpenAndCloseActive"": ""Charging Port flap automatic open/close (front right)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontRight.​flap.​isAutomaticOpenAndCloseActive"": ""Charging Port flap automatic open/close (front right)"","
278,Battery charging port front right flap open,"This signal indicates, if front right charging port is open in the vehicle.",Charging Port,flap state (front right),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​frontRight.​flap.​isOpen,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontRight.​flap.​isOpen"": ""Charging Port flap state (front right)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontRight.​flap.​isOpen"": ""Charging Port flap state (front right)"","
279,Battery charging port front right plugged,"This signal indicates, if a charging cable is plugged in the front right charging port.",Charging Port,plugged (front right),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​frontRight.​isPlugged,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontRight.​isPlugged"": ""Charging Port plugged (front right)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​frontRight.​isPlugged"": ""Charging Port plugged (front right)"","
280,Battery charging port rear left flap automatic open/close,"This field indicates if customer setting for opening the rear left flap by myWay function (slider in the mobile app) is active. If true, flap opens automatically when the vehicle is close to a charging station with the digital key in the pocket and closes automatically after unplugging the cable.",Charging Port,flap automatic open/close (rear left),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​rearLeft.​flap.​isAutomaticOpenAndCloseActive,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearLeft.​flap.​isAutomaticOpenAndCloseActive"": ""Charging Port flap automatic open/close (rear left)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearLeft.​flap.​isAutomaticOpenAndCloseActive"": ""Charging Port flap automatic open/close (rear left)"","
281,Battery charging port rear left flap open,"This signal indicates, if rear left charging port is open in the vehicle.",Charging Port,flap state (rear left),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​rearLeft.​flap.​isOpen,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearLeft.​flap.​isOpen"": ""Charging Port flap state (rear left)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearLeft.​flap.​isOpen"": ""Charging Port flap state (rear left)"","
282,Battery charging port rear left plugged,"This signal indicates, if a charging cable is plugged in the rear left charging port.",Charging Port,plugged (rear left),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​rearLeft.​isPlugged,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearLeft.​isPlugged"": ""Charging Port plugged (rear left)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearLeft.​isPlugged"": ""Charging Port plugged (rear left)"","
283,Battery charging port rear middle flap automatic open/close,"This field indicates if customer setting for opening the rear middle flap by myWay function (slider in the mobile app) is active. If true, flap opens automatically when the vehicle is close to a charging station with the digital key in the pocket and closes automatically after unplugging the cable.",Charging Port,flap automatic open/close (rear middle),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​rearMiddle.​flap.​isAutomaticOpenAndCloseActive,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearMiddle.​flap.​isAutomaticOpenAndCloseActive"": ""Charging Port flap automatic open/close (rear middle)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearMiddle.​flap.​isAutomaticOpenAndCloseActive"": ""Charging Port flap automatic open/close (rear middle)"","
284,Battery charging port rear middle flap open,"This signal indicates, if rear middle charging port is open in the vehicle.",Charging Port,flap state (rear middle),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​rearMiddle.​flap.​isOpen,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearMiddle.​flap.​isOpen"": ""Charging Port flap state (rear middle)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearMiddle.​flap.​isOpen"": ""Charging Port flap state (rear middle)"","
285,Battery charging port rear middle plugged,"This signal indicates, if a charging cable is plugged in the rear middle charging port.",Charging Port,plugged (rear middle),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​rearMiddle.​isPlugged,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearMiddle.​isPlugged"": ""Charging Port plugged (rear middle)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearMiddle.​isPlugged"": ""Charging Port plugged (rear middle)"","
286,Battery charging port rear right flap automatic open/close,"This field indicates if customer setting for opening the rear right flap by myWay function (slider in the mobile app) is active. If true, flap opens automatically when the vehicle is close to a charging station with the digital key in the pocket and closes automatically after unplugging the cable.",Charging Port,flap automatic open/close (rear right),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​rearRight.​flap.​isAutomaticOpenAndCloseActive,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearRight.​flap.​isAutomaticOpenAndCloseActive"": ""Charging Port flap automatic open/close (rear right)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearRight.​flap.​isAutomaticOpenAndCloseActive"": ""Charging Port flap automatic open/close (rear right)"","
287,Battery charging port rear right flap open,"This signal indicates, if rear right charging port is open in the vehicle.",Charging Port,flap state (rear right),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​rearRight.​flap.​isOpen,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearRight.​flap.​isOpen"": ""Charging Port flap state (rear right)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearRight.​flap.​isOpen"": ""Charging Port flap state (rear right)"","
288,Battery charging port rear right plugged,"This signal indicates, if a charging cable is plugged in the rear right charging port.",Charging Port,plugged (rear right),,,vehicle.​powertrain.​tractionBattery.​charging.​port.​rearRight.​isPlugged,boolean,"true, false",-,,,,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearRight.​isPlugged"": ""Charging Port plugged (rear right)"",",,"""vehicle.​powertrain.​tractionBattery.​charging.​port.​rearRight.​isPlugged"": ""Charging Port plugged (rear right)"","
290,Consent to OBFCM* data transfer to the EU,This value indicates whether the client has consented to the transfer of OBFCM* data to the European Commission.,Legal,OBFCM data transfer consent,,,vehicle.​privacySettings.​dataCollection.​regulations.​obfcm,boolean,True False,-,,,,"""vehicle.​privacySettings.​dataCollection.​regulations.​obfcm"": ""Legal OBFCM data transfer consent"",",,"""vehicle.​privacySettings.​dataCollection.​regulations.​obfcm"": ""Legal OBFCM data transfer consent"","
292,Smart Maintenance: Live diagnostics,"This value indicates which service requirements have been determined for the vehicle based on the live diagnostics. These are composed of the title, category and current status of the required service. The vehicle collects error data for the service requirements, and automatically sends them according to defined cycles.",Service,Live diagnostics,,,vehicle.​serviceDemand.​defect.​id,-,-,-,,,,"""vehicle.​serviceDemand.​defect.​id"": ""Service Live diagnostics"",",,"""vehicle.​serviceDemand.​defect.​id"": ""Service Live diagnostics"","
293,Preferred service partner,Indicates the current service partner allocation of the vehicle.,Service,Preferred service partner,,,vehicle.​sevice.​preferredSevicePartner,-,string,-,,,,"""vehicle.​sevice.​preferredSevicePartner"": ""Service Preferred service partner"",",,"""vehicle.​sevice.​preferredSevicePartner"": ""Service Preferred service partner"","
295,Activation status of the installed SIM card,This value indicates whether the SIM card installed in the vehicle is activated.,Vehicle Info,SIM activation state,,,vehicle.​sim.​status,-,"true, false",-,,,,"""vehicle.​sim.​status"": ""Vehicle Info SIM activation state"",",,"""vehicle.​sim.​status"": ""Vehicle Info SIM activation state"","
297,Check control messages,"The value indicates the last relevant Check Control messages that were displayed in the vehicle and transferred to BMW. Check control monitors functions in the vehicle and notifies the user when there is a fault in the monitored system. A check control message is displayed as a combination of indicator lights or warning lights and text messages on the dashboard, and on the head-up display, if applicable. Note: Not all Check Control messages that are displayed in the vehicle are transferred to BMW.",Service,Check control messages,,,vehicle.​status.​checkControlMessages,-,The Check Control example is appended at the end of the table (2).,-,,,,"""vehicle.​status.​checkControlMessages"": ""Service Check control messages"",",,"""vehicle.​status.​checkControlMessages"": ""Service Check control messages"","
298,Condition Based Service,Sensors and special algorithms take into account the operating conditions of the vehicle. CBS uses this to determine the required service. The system hereby adapts the scope of the service to the individual usage profile.,Service,Condition based services,,,vehicle.​status.​conditionBasedServices,-,The Condition Based Service example is appended at the end of the table (3).,-,,,,"""vehicle.​status.​conditionBasedServices"": ""Service Condition based services"",",,"""vehicle.​status.​conditionBasedServices"": ""Service Condition based services"","
299,Average distance per day,Condition Based Services. Estimation on the daily travelled distance of the vehicle but heavily tailored for the us in the Condition Based Services context.,Service,CBS average distance per day,,,vehicle.​status.​conditionBasedServicesAverageDistancePerDay,int32,-,km,,,,"""vehicle.​status.​conditionBasedServicesAverageDistancePerDay"": ""Service CBS average distance per day"",",,"""vehicle.​status.​conditionBasedServicesAverageDistancePerDay"": ""Service CBS average distance per day"","
300,Number of CBS reports,The value specifies the maximum number of service notifications transmitted from the vehicle to BMW via telematics. The actual number of service notifications transmitted (see separate CBS key) varies depending on how the vehicle is used and whether relevant thresholds have been reached. Note: Not all Condition Based service messages which occur in the vehicle are also transferred.,Service,CBS report count,,,vehicle.​status.​conditionBasedServicesCount,uint16,0 to 60 Messages,-,,,,"""vehicle.​status.​conditionBasedServicesCount"": ""Service CBS report count"",",,"""vehicle.​status.​conditionBasedServicesCount"": ""Service CBS report count"","
301,Distance to the next service,"This value indicates how many kilometres or miles remain before the next service at the time of recording the data. Note: This value is calculated based on the individual CBS scopes and is not determined with every data transfer. For more details, see ""Condition Based Service"".",Service,Distance to next service,,,vehicle.​status.​serviceDistance.​next,uint16,"0 km to 100,000 km or 0 mi to 62,137 mi",-,,,,"""vehicle.​status.​serviceDistance.​next"": ""Service Distance to next service"",",,"""vehicle.​status.​serviceDistance.​next"": ""Service Distance to next service"","
302,Distance threshold for service information,The static value indicated is stored in the vehicle and indicates the first time that the customer receives a mileage-related message to inform him that the vehicle will soon be due for a service. It is given in kilometres or miles (for example 2000 km or 1243 mi).,Service,Next service distance threshold,,,vehicle.​status.​serviceDistance.​yellow,uint16,2000 km or 1243 mi,-,,,,"""vehicle.​status.​serviceDistance.​yellow"": ""Service Next service distance threshold"",",,"""vehicle.​status.​serviceDistance.​yellow"": ""Service Next service distance threshold"","
303,Time threshold for main and exhaust gas inspection,The threshold indicates how many months before the main and exhaust gas inspection is due the service advisor will be notified.,Service,Inspection time threshold,,,vehicle.​status.​serviceTime.​hUandAuServiceYellow,uint16,0 to 10 months,months,,,,"""vehicle.​status.​serviceTime.​hUandAuServiceYellow"": ""Service Inspection time threshold"",",,"""vehicle.​status.​serviceTime.​hUandAuServiceYellow"": ""Service Inspection time threshold"","
304,Date of next inspection,"This value indicates when the next inspection is due. A date will be shown respectively, for example 30.09.2018 23:00 UTC or 09.30.2018 23:00 UTC.",Service,Next inspection date,,,vehicle.​status.​serviceTime.​inspectionDateLegal,string,dd.mm.yyyy hh:mm UTC or mm/dd/yyyy hh:mm UTC,-,,,,"""vehicle.​status.​serviceTime.​inspectionDateLegal"": ""Service Next inspection date"",",,"""vehicle.​status.​serviceTime.​inspectionDateLegal"": ""Service Next inspection date"","
305,Time threshold for service information,The static value indicated is stored in the vehicle and indicates the first time that the customer receives a message to inform them that the vehicle will soon be due for a service. This is given in weeks (for example 4).,Service,Next service time threshold,,,vehicle.​status.​serviceTime.​yellow,uint16,4 weeks,weeks,,,,"""vehicle.​status.​serviceTime.​yellow"": ""Service Next service time threshold"",",,"""vehicle.​status.​serviceTime.​yellow"": ""Service Next service time threshold"","
307,Driving style evaluation - 'acceleration behaviour',This value indicates the number of stars which the driving style analysis has given to the acceleration behaviour of the driver at the time of data collection. The system allocates 0 to 5 stars.,Trip,Driving style acceleration,,,vehicle.​trip.​segment.​accumulated.​acceleration.​starsAverage,float,0 to 5 stars,stars,,,,"""vehicle.​trip.​segment.​accumulated.​acceleration.​starsAverage"": ""Trip Driving style acceleration"",",,"""vehicle.​trip.​segment.​accumulated.​acceleration.​starsAverage"": ""Trip Driving style acceleration"","
308,Driving style evaluation - 'pro-active driving',This value indicates the number of stars which the driving style analysis has given to the 'pro-active driving' behaviour of the driver at the time of data collection. The system allocates 0 to 5 stars.,Trip,Driving style anticipation,,,vehicle.​trip.​segment.​accumulated.​chassis.​brake.​starsAverage,float,0 to 5 stars,stars,,,,"""vehicle.​trip.​segment.​accumulated.​chassis.​brake.​starsAverage"": ""Trip Driving style anticipation"",",,"""vehicle.​trip.​segment.​accumulated.​chassis.​brake.​starsAverage"": ""Trip Driving style anticipation"","
309,Electrical energy consumption in COMFORT mode during the most recent drive,"This indicates the electrical energy consumption (kWh) in COMFORT mode, measured at the time of data collection.",Trip,Energy consumption (comfort mode),,,vehicle.​trip.​segment.​accumulated.​drivetrain.​electricEngine.​energyConsumptionComfort,double,0 kWh to 10 kWh,kWh,,,,"""vehicle.​trip.​segment.​accumulated.​drivetrain.​electricEngine.​energyConsumptionComfort"": ""Trip Energy consumption (comfort mode)"",",,"""vehicle.​trip.​segment.​accumulated.​drivetrain.​electricEngine.​energyConsumptionComfort"": ""Trip Energy consumption (comfort mode)"","
310,Energy recuperated during the last drive,This value indicates the average electrical energy in kilowatt hours (kWh/100 km or kWh/62 mi) recuperated during the last logged drive per 100 kilometres or 62 miles. The values range from 0 to 254.,Trip,Energy recovered last trip,,,vehicle.​trip.​segment.​accumulated.​drivetrain.​electricEngine.​recuperationTotal,float,0 kWh/100 km to 170 kWh/100 km or 0 kWh/62 mi to 170 kWh/62 mi,-,,,,"""vehicle.​trip.​segment.​accumulated.​drivetrain.​electricEngine.​recuperationTotal"": ""Trip Energy recovered last trip"",",,"""vehicle.​trip.​segment.​accumulated.​drivetrain.​electricEngine.​recuperationTotal"": ""Trip Energy recovered last trip"","
311,Activation period for ECO mode during most recent drive,Indicates the length of time for which ECO mode was activated during the most recent drive when data were recorded. The values range from 0 to 100.,Trip,ECO Pro mode share,Trip,ECO Pro mode fraction,vehicle.​trip.​segment.​accumulated.​drivetrain.​transmission.​setting.​fractionDriveEcoPro,float,0 % to 100 %,percent,,,,"""vehicle.​trip.​segment.​accumulated.​drivetrain.​transmission.​setting.​fractionDriveEcoPro"": ""Trip ECO Pro mode fraction"",",,"""vehicle.​trip.​segment.​accumulated.​drivetrain.​transmission.​setting.​fractionDriveEcoPro"": ""Trip ECO Pro mode share"","
312,Activation period for ECO PLUS mode during most recent drive,Indicates the length of time for which ECO PLUS mode was activated during the most recent drive when data were recorded. The values range from 0 to 100.,Trip,ECO Pro Plus share,Trip,ECO Pro Plus fraction,vehicle.​trip.​segment.​accumulated.​drivetrain.​transmission.​setting.​fractionDriveEcoProPlus,float,0 % to 100 %,percent,,,,"""vehicle.​trip.​segment.​accumulated.​drivetrain.​transmission.​setting.​fractionDriveEcoProPlus"": ""Trip ECO Pro Plus fraction"",",,"""vehicle.​trip.​segment.​accumulated.​drivetrain.​transmission.​setting.​fractionDriveEcoProPlus"": ""Trip ECO Pro Plus share"","
313,Electrically driven distance during the most recent drive,This value indicates the distance covered with electrical energy during the most recent drive in percentage.,Trip,Electric share,Trip,Electric portion last trip,vehicle.​trip.​segment.​accumulated.​drivetrain.​transmission.​setting.​fractionDriveElectric,float,0 % to 100 %,percent,,,,"""vehicle.​trip.​segment.​accumulated.​drivetrain.​transmission.​setting.​fractionDriveElectric"": ""Trip Electric portion last trip"",",,"""vehicle.​trip.​segment.​accumulated.​drivetrain.​transmission.​setting.​fractionDriveElectric"": ""Trip Electric share"","
314,Charging status of battery,This value indicates the charging status of the high-voltage battery at the end of the most recently logged drive (in percentage).,Trip,Battery charge level at end of trip,,,vehicle.​trip.​segment.​end.​drivetrain.​batteryManagement.​hvSoc,float,0 % to 100 %,percent,,,,"""vehicle.​trip.​segment.​end.​drivetrain.​batteryManagement.​hvSoc"": ""Trip Battery charge level at end of trip"",",,"""vehicle.​trip.​segment.​end.​drivetrain.​batteryManagement.​hvSoc"": ""Trip Battery charge level at end of trip"","
